sample_id,Omega,P,Compression_ratio,Efficiency,Massflow
57,1653.21,375491.75,1.914284,0.864379,18.451577
58,1789.11,369566.85,2.068321,0.858613,20.20034
59,1694.25,371052.55,1.98221,0.88165,19.32792
60,1683.63,370837.75,1.968056,0.866161,19.198251
61,1716.03,373737.55,1.999596,0.864558,19.357904
62,1682.37,361064.35,1.934629,0.882773,19.379929
63,1773.45,372699.35,2.091867,0.867703,20.272238
64,1778.67,374507.25,2.091677,0.86079,20.181939
65,1711.17,369262.55,1.990896,0.864745,19.501514
66,1742.67,366971.35,2.021015,0.878469,19.908984
67,1686.15,371517.95,1.97742,0.877817,19.262103
68,1662.75,373415.35,1.942747,0.864537,18.832916
69,1621.71,373630.15,1.875328,0.865202,18.174741
70,1770.93,364608.55,2.026114,0.868055,20.066354
71,1753.11,362013.05,2.027601,0.863507,20.225979
72,1661.49,366953.45,1.923247,0.88206,18.96
73,1751.49,364161.05,2.027902,0.858851,20.110836
74,1740.15,365181.35,2.031588,0.874408,20.108807
75,1727.19,373307.95,2.027441,0.882261,19.641436
76,1793.97,367579.95,2.07525,0.85941,20.387221
77,1792.71,359310.15,2.054463,0.856329,20.633403
78,1799.37,376529.95,2.100508,0.848706,20.131717
79,1711.53,364322.15,1.99153,0.87017,19.767839
80,1738.17,361690.85,2.008448,0.876708,20.066809
81,1779.39,370426.05,2.058523,0.851921,20.055399
82,1653.57,370963.05,1.911034,0.882694,18.646018
83,1790.55,375438.05,2.106954,0.856646,20.267875
84,1760.31,375205.35,2.075794,0.86665,20.002581
85,1624.23,367114.55,1.869981,0.872508,18.441495
86,1750.95,372305.55,2.036006,0.862503,19.765723
87,1620.99,363427.15,1.878752,0.880956,18.718094
88,1731.87,373522.75,2.038414,0.881224,19.734735
89,1739.97,366792.35,2.029194,0.861299,19.991684
90,1637.19,374704.15,1.893774,0.857108,18.29332
91,1758.15,371446.35,2.040225,0.87288,19.841169
92,1708.47,364340.05,1.9827,0.865975,19.68492
93,1647.09,365217.15,1.899565,0.878755,18.831869
94,1777.77,369620.55,2.051376,0.858517,20.045941
95,1794.69,361798.25,2.037596,0.859104,20.330022
96,1713.15,372466.65,2.005674,0.872254,19.484942
97,1723.23,367651.55,2.005211,0.874875,19.720205
98,1675.35,360939.05,1.92386,0.878966,19.282553
99,1669.41,376046.65,1.928327,0.874956,18.544922
100,1689.57,376655.25,1.990013,0.857308,19.114867
101,1785.87,365754.15,2.05974,0.860382,20.340475
102,1774.53,361565.55,2.043796,0.870533,20.414464
103,1712.61,358970.05,1.968982,0.882701,19.830996
104,1787.13,371535.85,2.087925,0.866775,20.295135
105,1777.41,372198.15,2.062742,0.861154,20.014382
106,1678.95,372806.75,1.953263,0.868777,18.958305
107,1707.93,367866.35,2.002688,0.88024,19.689893
108,1784.79,376404.65,2.077286,0.855544,19.937226
109,1700.37,359345.95,1.96197,0.887592,19.742648
110,1773.81,367884.25,2.052762,0.861233,20.135677
111,1727.01,363910.45,2.006907,0.870704,19.933365
112,1697.67,362317.35,1.943792,0.866491,19.407305
113,1768.05,376601.55,2.079163,0.860985,19.951129
114,1714.41,360240.95,1.984682,0.871863,19.908421
115,1662.57,373469.05,1.927706,0.868125,18.662155
116,1717.11,368385.45,1.990554,0.870208,19.539449
117,1744.47,359560.75,1.979184,0.877377,19.882834
118,1796.85,375563.35,2.097162,0.855658,20.172938
119,1634.31,362209.95,1.8577,0.870372,18.562842
120,1676.07,368528.65,1.932793,0.866887,18.967497
121,1681.65,376673.15,1.977633,0.869359,19.000241
122,1668.69,369727.95,1.921306,0.869451,18.804783
123,1628.73,362800.65,1.871472,0.885492,18.675052
124,1766.25,368295.95,2.051893,0.85787,20.118269
125,1678.59,375312.75,1.951368,0.862549,18.810395
126,1686.51,362621.65,1.950356,0.880789,19.453591
127,1788.39,369477.35,2.08508,0.857478,20.376496
128,1775.07,370497.65,2.038583,0.851338,19.876084
129,1652.49,376333.05,1.946474,0.867491,18.718582
130,1686.69,372878.35,1.978509,0.867829,19.197295
131,1658.61,360026.15,1.904372,0.877484,19.141555
132,1790.19,367418.85,2.064013,0.857806,20.251187
133,1696.59,360491.55,1.964093,0.875731,19.707065
134,1669.23,359166.95,1.932215,0.881641,19.460323
135,1704.51,372949.95,1.999595,0.87832,19.401619
136,1728.27,375670.75,2.058236,0.871798,19.817452
137,1701.81,367168.25,1.977292,0.874157,19.481083
138,1747.17,362048.85,2.020764,0.870579,20.16427
139,1762.83,374310.35,2.058507,0.863025,19.85871
140,1691.91,363176.55,1.963127,0.878656,19.552294
141,1684.89,369710.05,1.954743,0.874908,19.129074
142,1748.07,360956.95,2.03101,0.878395,20.325543
143,1751.67,367221.95,2.038828,0.8694,20.072058
144,1722.51,371159.95,2.020495,0.870986,19.679504
145,1696.23,373952.35,2.008397,0.879711,19.438213
146,1646.55,365020.25,1.910221,0.883498,18.937148
147,1799.19,360634.75,2.029683,0.855555,20.296488
148,1661.31,366380.65,1.922989,0.877164,18.995171
149,1726.11,359131.15,1.980345,0.882521,19.944269
150,1646.91,361082.25,1.87527,0.880764,18.788906
151,1720.53,364733.85,1.997686,0.87677,19.807978
152,1736.73,369924.85,2.031347,0.861991,19.840276
153,1650.33,375169.55,1.9105,0.859965,18.437068
154,1775.25,361941.45,2.040422,0.86049,20.34773
155,1662.03,375921.35,1.927019,0.8581,18.550287
156,1764.63,366273.25,2.055212,0.871214,20.266685
157,1664.37,372717.25,1.906179,0.864797,18.51104
158,1683.45,365342.45,1.973584,0.884257,19.542948
159,1693.53,359005.85,1.951667,0.877459,19.662293
160,1679.85,367669.45,1.947728,0.879932,19.156877
161,1628.37,376476.25,1.91502,0.879182,18.419546
162,1630.35,373164.75,1.881599,0.860339,18.244762
163,1635.39,363122.85,1.863052,0.880161,18.567444
164,1630.17,366649.15,1.879486,0.87689,18.555147
165,1711.71,368027.45,2.01551,0.876516,19.809593
166,1680.21,370873.55,1.938424,0.870091,18.907507
167,1795.05,366846.05,2.068086,0.864723,20.350496
168,1650.69,372448.75,1.922575,0.87249,18.68305
169,1689.39,366756.55,1.952197,0.875441,19.265992
170,1771.11,368653.95,2.056359,0.86084,20.157658
171,1702.71,361493.95,1.973686,0.873526,19.741266
172,1778.49,368099.05,2.058132,0.855436,20.197594
173,1641.15,362675.35,1.898362,0.877587,18.953253
174,1633.41,374238.75,1.894868,0.873932,18.316521
175,1713.69,371822.25,2.029711,0.88036,19.739634
176,1693.35,375849.75,1.962369,0.87084,18.884544
177,1662.39,363982.05,1.915311,0.87269,19.040298
178,1656.81,373719.65,1.938586,0.867217,18.772625
179,1780.83,360151.45,2.040461,0.856675,20.454047
180,1633.95,376422.55,1.877239,0.864102,18.047065
181,1678.05,363677.75,1.941716,0.880024,19.313987
182,1786.59,362585.85,2.0403,0.862145,20.301979
183,1753.83,368546.55,2.054217,0.871304,20.146398
184,1628.55,359292.25,1.879428,0.889376,18.933985
185,1796.31,359793.45,2.041303,0.864371,20.462021
186,1767.87,370640.85,2.050576,0.856523,19.979754
187,1708.65,360044.05,1.973885,0.878367,19.822226
188,1739.07,358898.45,1.997126,0.869341,20.1117
189,1759.77,375652.85,2.075668,0.864492,19.966503
190,1793.79,359703.95,2.052816,0.870198,20.606889
191,1719.27,372967.85,2.021214,0.86325,19.598914
192,1779.75,364859.15,2.059959,0.857188,20.375806
193,1734.93,372072.85,2.028973,0.871216,19.702129
194,1639.35,371464.25,1.894816,0.871785,18.462526
195,1673.01,361350.75,1.931444,0.882369,19.334998
196,1642.95,361243.35,1.887451,0.872419,18.900272
197,1669.59,360473.65,1.949743,0.88686,19.57469
198,1677.51,365163.45,1.946485,0.877658,19.290051
199,1759.59,360115.65,2.013257,0.860513,20.180627
200,1721.07,368850.85,2.00799,0.873901,19.676266
201,1744.29,359041.65,2.009266,0.863909,20.225912
202,1664.19,367454.65,1.945422,0.873024,19.155781
203,1777.23,376100.35,2.080214,0.855953,19.976925
204,1741.59,371088.35,2.035414,0.874233,19.837134
205,1751.85,363462.95,2.013661,0.870114,20.017382
206,1765.89,373451.15,2.072624,0.856795,20.041611
207,1713.33,372108.65,2.003965,0.875548,19.483412
208,1776.87,360616.85,2.006349,0.863916,20.070894
209,1734.39,363892.55,2.020767,0.863267,20.082806
210,1688.31,375420.15,1.991412,0.88588,19.197236
211,1623.33,364071.55,1.844446,0.864925,18.332836
212,1673.55,364196.85,1.931486,0.877947,19.185328
213,1783.53,359614.45,2.007162,0.857999,20.135741
214,1797.39,372359.25,2.08718,0.846427,20.227314
215,1691.19,361511.85,1.948279,0.875356,19.491859
216,1753.65,359757.65,1.988082,0.869998,19.962629
217,1709.01,363749.35,1.98054,0.881765,19.696503
218,1776.33,364698.05,2.046343,0.876454,20.273514
219,1658.79,371875.95,1.915776,0.870218,18.639078
220,1718.55,360563.15,1.999188,0.880988,20.049254
221,1667.43,375115.85,1.939081,0.87787,18.707647
222,1708.83,369459.45,1.988773,0.873522,19.468545
223,1737.27,374417.75,2.044683,0.866157,19.73215
224,1732.59,369942.75,2.025678,0.866029,19.806034
225,1707.57,363140.75,1.988688,0.876376,19.794693
226,1719.99,372216.05,2.029409,0.870429,19.722515
227,1668.15,369495.25,1.934655,0.878616,18.951248
228,1686.33,372090.75,1.970424,0.868678,19.157785
229,1727.73,369244.65,2.019765,0.876439,19.782002
230,1796.13,365252.95,2.068571,0.85424,20.453955
231,1684.17,375706.55,1.988977,0.875269,19.15921
232,1712.25,362245.75,1.99228,0.879736,19.881338
233,1727.37,374059.75,2.03987,0.873921,19.717657
234,1626.75,371571.65,1.875252,0.86947,18.262686
235,1624.59,361189.65,1.866307,0.884115,18.703793
236,1785.15,373576.45,2.086717,0.861843,20.167358
237,1674.45,370766.15,1.94081,0.870902,18.945935
238,1628.91,373218.45,1.873979,0.864326,18.167827
239,1698.03,366810.25,1.970571,0.882215,19.43215
240,1747.89,370282.85,2.046577,0.867091,19.980102
241,1703.43,360330.45,1.96417,0.88591,19.699392
242,1761.39,367490.45,2.058901,0.864126,20.236026
243,1705.05,373898.65,1.989862,0.867422,19.250388
244,1670.49,360205.15,1.93035,0.881929,19.391854
245,1715.13,368689.75,1.997977,0.873144,19.594295
246,1625.31,371786.45,1.885743,0.866877,18.355509
247,1626.39,368242.25,1.878292,0.864819,18.468672
248,1745.01,369137.25,2.037572,0.876983,19.947843
249,1649.61,375276.95,1.904606,0.865222,18.375333
250,1652.13,362299.45,1.910069,0.874185,19.083406
251,1718.01,363946.25,2.004503,0.884473,19.912493
252,1701.99,368564.45,1.991427,0.874212,19.540705
253,1653.93,366398.55,1.91987,0.882639,18.967201
254,1681.11,374793.65,1.96441,0.877991,18.964514
255,1658.07,371965.45,1.911192,0.866446,18.593803
256,1642.41,375473.85,1.921943,0.870236,18.529206
257,1688.13,365324.55,1.952035,0.882667,19.331759
258,1626.03,366022.65,1.888564,0.883192,18.685237
259,1677.69,366917.65,1.958194,0.8819,19.313497
260,1629.45,368457.05,1.882621,0.870738,18.496918
261,1754.01,373128.95,2.057825,0.859979,19.925099
262,1623.87,374918.95,1.890522,0.87643,18.256288
263,1768.95,374560.95,2.063293,0.867122,19.912652
264,1695.33,368994.05,1.96565,0.872153,19.274179
265,1735.11,362442.65,2.018015,0.869814,20.128763
266,1635.21,366828.15,1.87578,0.866851,18.50387
267,1651.77,367741.05,1.907334,0.871118,18.761055
268,1733.85,372824.65,2.05392,0.877716,19.917359
269,1687.77,372377.15,1.954827,0.869661,18.9965
270,1674.81,373683.85,1.973522,0.88038,19.120175
271,1799.91,374167.15,2.097003,0.858694,20.232398
272,1735.83,359077.45,1.993666,0.878257,20.075262
273,1718.37,373934.45,2.00995,0.861743,19.437784
274,1736.91,360742.15,1.995258,0.870776,19.9844
275,1724.13,367794.75,2.012032,0.875132,19.788104
276,1641.69,371374.75,1.893296,0.862444,18.452534
277,1679.67,359274.35,1.928396,0.87948,19.417596
278,1767.69,372162.35,2.066743,0.854525,20.057166
279,1725.75,360527.35,1.97887,0.872612,19.84122
280,1680.93,370694.55,1.943478,0.866316,18.974091
281,1671.39,373093.15,1.951423,0.871762,18.935791
282,1664.01,362030.95,1.911204,0.866674,19.099322
283,1623.69,374650.45,1.875966,0.865084,18.128035
284,1714.59,358808.95,1.973217,0.880046,19.882161
285,1783.17,358826.85,2.03323,0.861467,20.459663
286,1693.89,369208.85,1.975027,0.877267,19.349028
287,1743.03,370372.35,2.040639,0.869307,19.919791
288,1704.33,374632.55,1.994755,0.863061,19.266707
289,1706.49,360795.85,1.962068,0.882768,19.660708
290,1714.95,372323.45,2.012971,0.866201,19.554893
291,1756.71,362192.05,2.034513,0.867988,20.28659
292,1666.17,373182.65,1.936135,0.873855,18.779534
293,1664.55,372538.25,1.955554,0.876972,18.99989
294,1768.23,373916.55,2.067778,0.860111,19.976981
295,1630.89,374149.25,1.871084,0.868249,18.1022
296,1655.01,363409.25,1.903131,0.874317,18.951734
297,1798.47,361261.25,2.040805,0.852153,20.370899
298,1650.15,367293.55,1.894308,0.869645,18.671036
299,1680.75,374936.85,1.963836,0.858622,18.958011
300,1739.25,368886.65,2.023141,0.861718,19.824359
301,1648.35,363087.05,1.910381,0.886995,19.045276
302,1637.01,364894.95,1.89737,0.880574,18.82427
303,1620.27,361171.75,1.858702,0.87772,18.635623
304,1681.47,363767.25,1.97147,0.889342,19.609747
305,1661.85,376243.55,1.930821,0.871068,18.565901
306,1654.29,371034.65,1.916942,0.879616,18.689329
307,1726.83,359936.65,1.985521,0.880957,19.947584
308,1688.85,374525.15,1.983125,0.861134,19.147938
309,1777.95,362460.55,2.027826,0.864119,20.195467
310,1660.23,363319.75,1.927277,0.883189,19.197641
311,1728.81,369799.55,2.036725,0.87163,19.91171
312,1782.81,371285.25,2.07334,0.853894,20.150866
313,1754.55,366684.95,2.036754,0.87114,20.07755
314,1640.43,363659.85,1.879561,0.881162,18.699123
315,1775.43,368134.85,2.055162,0.855687,20.160837
316,1667.97,364393.75,1.927704,0.879048,19.147223
317,1666.89,363641.95,1.942906,0.877479,19.33523
318,1762.47,359990.35,2.024964,0.865847,20.311559
319,1785.51,359632.35,2.046185,0.862546,20.542435
320,1720.17,363033.35,2.010168,0.881491,20.018048
321,1748.79,373397.45,2.042702,0.867226,19.774131
322,1752.75,365360.35,2.019867,0.866549,19.957479
323,1748.97,365288.75,2.021177,0.859105,19.986403
324,1663.65,370658.75,1.932812,0.872933,18.864286
325,1682.73,367848.45,1.948384,0.881186,19.169964
326,1699.11,362156.25,1.971113,0.880646,19.691716
327,1787.49,369298.35,2.074557,0.850555,20.295079
328,1756.89,365843.65,2.0156,0.861566,19.902529
329,1698.39,359686.05,1.952954,0.889398,19.631031
330,1657.71,371070.45,1.932009,0.877795,18.851952
331,1754.19,365664.65,2.036531,0.87352,20.123039
332,1789.65,365145.55,2.063249,0.847587,20.387959
333,1640.97,371321.05,1.899786,0.87181,18.517305
334,1691.01,365628.85,1.978725,0.87174,19.579153
335,1723.05,363588.25,1.991933,0.878036,19.806724
336,1746.45,376583.65,2.057328,0.868265,19.757902
337,1728.63,374847.35,2.042643,0.873298,19.710053
338,1789.47,374543.05,2.091128,0.867425,20.17592
339,1787.67,364053.65,2.076109,0.869373,20.591605
340,1750.59,371500.05,2.051602,0.879934,19.96919
341,1745.55,360312.55,2.00769,0.875779,20.134806
342,1737.45,368707.65,2.031012,0.86869,19.913684
343,1791.45,363803.05,2.06189,0.85804,20.452362
344,1655.91,375581.25,1.918284,0.85745,18.469023
345,1648.17,362281.55,1.918567,0.884037,19.15676
346,1752.93,364519.05,2.028993,0.875119,20.113652
347,1747.35,369817.45,2.044921,0.877882,19.992741
348,1679.31,361118.05,1.918343,0.866055,19.2157
349,1763.01,369906.95,2.058563,0.873021,20.112394
350,1797.21,370229.15,2.084447,0.859704,20.332207
351,1725.21,376512.05,2.024829,0.864103,19.4439
352,1773.99,370175.45,2.065191,0.865908,20.135754
353,1731.15,363713.55,1.999715,0.867568,19.876081
354,1760.13,370998.85,2.072498,0.861866,20.173826
355,1672.11,365056.05,1.924178,0.880144,19.074677
356,1674.09,371428.45,1.963803,0.869171,19.137163
357,1636.65,369996.45,1.889801,0.875876,18.493799
358,1679.49,366112.15,1.92948,0.861837,19.063762
359,1683.99,363158.65,1.946469,0.874866,19.390285
360,1779.93,370748.25,2.078175,0.851192,20.252828
361,1655.55,371142.05,1.914454,0.866625,18.669601
362,1632.15,365610.95,1.885127,0.881392,18.654242
363,1672.29,368278.05,1.959175,0.884278,19.247743
364,1761.75,366237.45,2.030415,0.865274,20.027469
365,1694.61,360294.65,1.95685,0.878722,19.642286
366,1707.75,376691.05,1.992714,0.859438,19.134644
367,1732.41,368474.95,2.026279,0.883813,19.884633
368,1716.57,375957.15,2.005364,0.865522,19.302071
369,1659.33,358916.35,1.907751,0.889106,19.244188
370,1781.91,365772.05,2.056953,0.868273,20.31466
371,1793.43,370014.35,2.069982,0.851391,20.203257
372,1656.99,367902.15,1.935097,0.875822,19.039193
373,1674.27,359721.85,1.94473,0.877738,19.556416
374,1794.33,368331.75,2.07776,0.856546,20.36257
375,1639.71,366667.05,1.885113,0.877683,18.605104
376,1722.87,368958.25,2.027675,0.879058,19.877073
377,1634.85,376279.35,1.902914,0.867092,18.310466
378,1642.05,369047.75,1.909413,0.873278,18.729715
379,1683.81,363552.45,1.960298,0.88312,19.506382
380,1717.83,362335.25,1.984053,0.874748,19.784414
381,1784.43,369763.75,2.060971,0.859233,20.119934
382,1633.05,370945.15,1.885688,0.869925,18.402203
383,1706.31,364841.25,1.979152,0.874124,19.623299
384,1683.27,366881.85,1.934482,0.883252,19.073977
385,1635.57,376368.85,1.908563,0.869326,18.356839
386,1690.29,369674.25,1.964851,0.869497,19.217973
387,1738.89,364465.35,2.028989,0.871723,20.124731
388,1649.79,366989.25,1.901862,0.865838,18.751779
389,1694.07,364984.45,1.971911,0.888151,19.549233
390,1622.97,367597.85,1.885133,0.873513,18.551469
391,1718.19,365449.85,1.997501,0.883285,19.7765
392,1620.45,360348.35,1.841299,0.884113,18.497273
393,1638.81,364125.25,1.879866,0.874045,18.679604
394,1658.25,367615.75,1.918879,0.878386,18.885158
395,1744.65,366165.85,2.0252,0.870103,19.984976
396,1644.93,370712.45,1.915534,0.885455,18.710422
397,1782.27,374775.75,2.065191,0.853886,19.899705
398,1715.31,359542.85,1.991299,0.877002,20.029297
399,1710.81,368510.75,1.97798,0.87615,19.40918
400,1774.89,369781.65,2.053314,0.857844,20.057515
401,1661.67,371267.35,1.933976,0.879225,18.85286
402,1775.61,362496.35,2.02483,0.868361,20.161884
403,1719.45,364483.25,1.999895,0.884735,19.848405
404,1668.33,374113.45,1.933258,0.866343,18.702627
405,1797.57,359238.55,2.047545,0.858627,20.559555
406,1794.15,362371.05,2.046012,0.856038,20.385425
407,1740.51,361780.35,2.000615,0.873032,19.983316
408,1624.05,371589.55,1.890042,0.871813,18.407915
409,1656.09,363570.35,1.906507,0.875825,18.979901
410,1626.21,374901.05,1.868097,0.861493,18.024865
411,1632.51,364769.65,1.879468,0.880444,18.653459
412,1781.73,367508.35,2.053835,0.854153,20.164136
413,1728.09,371356.85,2.016014,0.872393,19.625081
414,1627.29,372681.45,1.88129,0.87525,18.27681
415,1721.43,372341.35,2.024813,0.865844,19.671826
416,1625.67,368313.85,1.886605,0.885534,18.540249
417,1765.53,366004.75,2.063985,0.866606,20.369801
418,1716.39,361601.35,1.975392,0.876445,19.758189
419,1729.17,367436.75,2.013062,0.86437,19.810655
420,1720.71,359023.75,1.988057,0.875068,20.023653
421,1773.63,370068.05,2.072808,0.864638,20.242062
422,1754.73,361046.45,2.014473,0.873111,20.163607
423,1672.83,364930.75,1.937291,0.874351,19.211642
424,1747.53,363373.45,2.038428,0.872091,20.269237
425,1732.05,371106.25,2.023143,0.863596,19.694016
426,1689.93,369316.25,1.991268,0.879299,19.509129
427,1729.89,376261.45,2.049231,0.866049,19.69964
428,1696.41,373648.05,1.982705,0.864506,19.206466
429,1627.47,360760.05,1.864335,0.869272,18.696406
430,1669.05,374972.65,1.932881,0.863561,18.649474
431,1655.73,374328.25,1.929828,0.880096,18.66578
432,1663.83,359453.35,1.910015,0.883543,19.230477
433,1795.23,360419.95,2.044423,0.855978,20.468532
434,1752.21,376315.15,2.054493,0.862905,19.738869
435,1705.95,363498.75,1.997562,0.87311,19.868961
436,1791.99,369745.85,2.069899,0.855368,20.206205
437,1770.03,362872.25,2.032577,0.861728,20.229637
438,1742.49,365933.15,2.029267,0.86524,20.039765
439,1719.09,375742.35,2.010519,0.862278,19.347519
440,1778.31,373003.65,2.071006,0.85943,20.065234
441,1799.55,361619.25,2.054794,0.860668,20.506878
442,1795.77,375688.65,2.113843,0.849364,20.328694
443,1710.63,376565.75,2.013382,0.869066,19.333906
444,1687.23,376619.45,1.979197,0.863828,19.009477
445,1646.19,363928.35,1.901089,0.869243,18.908282
446,1648.89,367239.85,1.900481,0.869566,18.719043
447,1771.29,371840.15,2.06327,0.853859,20.044199
448,1784.07,373665.95,2.087359,0.858476,20.178638
449,1630.71,369513.15,1.875198,0.864092,18.362716
450,1738.53,375187.45,2.026222,0.86999,19.538057
451,1769.31,359811.35,2.017522,0.865992,20.231584
452,1659.87,368421.25,1.915793,0.879084,18.813568
453,1653.03,362818.55,1.910814,0.88933,19.056458
454,1712.07,372663.55,2.002203,0.874582,19.436961
455,1786.41,361297.05,2.043256,0.865487,20.414437
456,1788.03,361529.75,2.057967,0.85752,20.54877
457,1654.83,369405.75,1.930678,0.88347,18.921192
458,1665.63,362353.15,1.906962,0.881522,19.038731
459,1632.33,362514.25,1.883191,0.875689,18.798731
460,1769.49,368832.95,2.068302,0.863298,20.27017
461,1757.25,369369.95,2.050837,0.871504,20.076012
462,1765.17,359847.15,2.012022,0.86401,20.196388
463,1656.45,376118.25,1.925329,0.861583,18.533745
464,1620.09,374489.35,1.865792,0.872806,18.03699
465,1696.77,367955.85,1.98329,0.873104,19.504497
466,1735.65,364662.25,2.036159,0.872923,20.188258
467,1741.41,369029.85,2.032844,0.872176,19.914104
468,1783.35,375796.05,2.087609,0.857134,20.071276
469,1729.35,361153.85,1.984906,0.874052,19.869772
470,1684.71,364232.65,1.945145,0.862989,19.309802
471,1784.25,358880.55,2.047873,0.849445,20.594641
472,1736.01,368188.55,2.025694,0.868994,19.893069
473,1711.35,360258.85,1.983183,0.878096,19.914144
474,1761.21,358844.75,1.993811,0.857792,20.063598
475,1688.67,370730.35,1.949699,0.859698,19.026371
476,1657.89,368868.75,1.942222,0.881609,19.048637
477,1697.85,370479.75,1.977476,0.884133,19.299755
478,1707.39,364787.55,1.970782,0.868682,19.531319
479,1795.41,362603.75,2.048803,0.859539,20.379258
480,1706.67,374220.85,2.000561,0.865787,19.342158
481,1773.27,361869.85,2.034093,0.868072,20.303109
482,1791.09,366738.65,2.073912,0.863152,20.419752
483,1662.21,369835.35,1.938238,0.869419,18.96619
484,1770.39,373540.65,2.067095,0.855816,19.992585
485,1640.07,361368.65,1.896253,0.878135,18.992705
486,1732.23,368636.05,2.017891,0.873425,19.799576
487,1695.87,368081.15,1.966114,0.878478,19.322292
488,1672.65,367204.05,1.940779,0.875748,19.119857
489,1685.79,364178.95,1.936863,0.881548,19.244585
490,1746.09,361851.95,2.015705,0.877641,20.111804
491,1702.35,365235.05,1.968014,0.868373,19.485302
492,1651.05,368492.85,1.91225,0.87931,18.783357
493,1629.99,368063.25,1.882099,0.869677,18.515118
494,1772.37,368152.75,2.065686,0.864906,20.26244
495,1794.51,371410.55,2.105298,0.859139,20.47133
496,1674.63,367758.95,1.954498,0.873282,19.230072
497,1667.07,372520.35,1.931943,0.860895,18.763496
498,1703.61,374202.95,2.001554,0.867528,19.341684
499,1628.01,369441.55,1.884129,0.873006,18.456556
500,1643.49,365986.85,1.890074,0.871058,18.693173
501,1781.01,365306.65,2.050376,0.867155,20.264338
502,1768.41,376171.95,2.074523,0.862275,19.923718
503,1636.11,361977.25,1.880452,0.873667,18.807639
504,1790.01,372896.25,2.071532,0.849952,20.045738
505,1793.61,371338.95,2.077056,0.849964,20.188055
506,1696.05,362908.05,1.967481,0.888479,19.609075
507,1784.97,367472.55,2.073227,0.868522,20.380688
508,1622.07,371661.15,1.896944,0.87411,18.475102
509,1640.61,359435.45,1.882376,0.881752,18.95787
510,1638.99,360545.25,1.875244,0.880681,18.828637
511,1693.17,362836.45,1.965358,0.882367,19.600519
512,1758.51,369692.15,2.043323,0.872226,19.978758
513,1749.87,375026.35,2.053563,0.870454,19.788616
514,1633.59,365073.95,1.888329,0.875749,18.727188
515,1781.19,359471.25,2.029416,0.854399,20.379957
